team.code,team.name,team.imageUrl
FRA,Skyliners Frankfurt,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCpC/6afb32b8-e6dc-4f79-b14a-2d99fdb34cde.png
SOP,Arka Gdynia,https://media-cdn.incrowdsports.com/210fa2fa-3529-400d-8d3f-9174a22ad1a8.png
LJU,KK Cedevita Olimpija,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png
ROM,Pallacanestro Virtus Roma,https://media-cdn.incrowdsports.com/e5836b62-9939-4063-b5e5-cc2f5804c142.png
WRO,WKS Slask Wroclaw,https://media-cdn.incrowdsports.com/0415061b-5374-4a0d-bc04-8fcbc8ad0bb3.png
BUD,KK Buducnost,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png
CIB,KK Cibona,https://media-cdn.incrowdsports.com/2bc7884a-4fe7-4362-9d4f-ba2ad8a0239d.png
AEK,AEK Athens,https://media-cdn.incrowdsports.com/b51b0af8-ac03-4093-8858-9b4d71830fe7.png
BAM,Bamberger Basketball GmbH,https://media-cdn.incrowdsports.com/85cdd43a-2bbd-4f73-b8f7-76288a5193cb.png
LIE,Rytas Vilnius,https://media-cdn.incrowdsports.com/894a55c9-4a15-40b0-a1b0-b0aec2ce3592.png
PAR,Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
DAR,Darussafaka Basketbol,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png
BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
PAU,Elan Bearnais Pau-Lacq-Orthez,https://media-cdn.incrowdsports.com/4550b11c-3680-44b2-a512-f0b4ff304b59.png
GAL,Galatasaray Spor Kulubu,https://media-cdn.cortextech.io/95056dbe-7949-4b65-921d-ed9b59c0791c.png
UNK,UNICS Kazan,https://media-cdn.incrowdsports.com/70b00b96-e98a-42ba-9997-39d70a895157.png
MAL,Unicaja Malaga,https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png
DYR,Zenit St Petersburg,https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png
RED,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
MUN,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
MIL,Armani Olimpia Milan,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHH/5c2f0ab6-f86a-4df0-b2f3-f9ab92f7267b.png
SIE,Montepaschi Siena,https://media-cdn.incrowdsports.com/1d94a55f-b8c7-459c-951e-8177f5f3eebe.png
ULK,Fenerbahce Istanbul,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHN/c91466d1-a620-4c0c-b47b-4a0cd9eee944.png
FOR,Fortitudo Pallacanestro Bologna 103,https://media-cdn.incrowdsports.com/0a746cc0-eb26-481a-bab5-457cfc51eae5.png
KHI,BC Khimki,https://media-cdn.incrowdsports.com/04bd9ac1-e8ed-4b35-8878-272596e5c7d6.png
VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
PAN,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
IST,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjCgOCxM/a844756c-a58d-4666-93b8-48f7337bc79d.png
OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
PAM,Valencia Basket,https://media-cdn.cortextech.io/1dU3kpCqReRp93/1BSdBWIjChWbHL/bc3e00b2-fea4-40be-a7ec-1e633129bde3.png
BAS,Baskonia Vitoria-Gasteiz,https://media-cdn.cortextech.io/cbc49cb0-99ce-4462-bdb7-56983ee03cf4.png
TEL,Maccabi Rapyd Tel Aviv,https://media-cdn.cortextech.io/1b533342-78f5-4932-b714-a7d80b5826b5.png
BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
TRE,Benetton Basket Treviso,https://media-cdn.incrowdsports.com/0636c1b0-de3e-4ca9-bd2c-e30a4f485114.png
CSK,CSKA Moscow,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png
MCO,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
MAD,Real Madrid,https://media-cdn.incrowdsports.com/371b0d9b-9250-4c09-bda7-0686cf024657.png
DUB,Dubai Basketball,https://media-cdn.incrowdsports.com/1efae090-16e2-4963-ae47-4b94f249c244.png
HTA,Hapoel Tel Aviv,https://media-cdn.incrowdsports.com/cbb1c3ad-03d5-426a-b5ef-2832a4eee484.png
PRS,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
